進場日期,進場價,出場日期,出場價,持有天數,損益點數,損益金額,累計金額,勝負,日期
2024/01/22,17816,2024/03/27,20185.0,65,2369,118336,118336.0,勝,2024/01/22
2024/03/28,20238,2024/04/16,20278.0,19,40,1886,120222.0,勝,2024/03/28
2024/04/30,20518,2024/05/21,21324.0,21,806,40186,160408.0,勝,2024/04/30
2024/05/23,21630,2024/06/03,21469.0,11,-161,-8164,152244.0,敗,2024/05/23
2024/06/13,22308,2024/06/18,22726.0,5,418,20786,173030.0,勝,2024/06/13
2024/06/20,23153,2024/06/25,22608.0,5,-545,-27364,145666.0,敗,2024/06/20
2025/02/24,23549,2025/02/27,23374.0,3,-175,-8864,136802.0,敗,2025/02/24
2025/04/11,18560,2025/04/21,19347.0,10,787,39236,176038.0,勝,2025/04/11
2025/04/24,19636,2025/06/24,21770.0,61,2134,106586,282624.0,勝,2025/04/24
2025/06/25,22138,2025/08/25,24120.0,61,1982,98986,381610.0,勝,2025/06/25
2025/08/26,24143,2025/09/02,24083.0,7,-60,-3114,378496.0,敗,2025/08/26
2025/09/08,24588,2025/09/30,25800.0,22,1212,60486,438982.0,勝,2025/09/08
2025/10/17,27251,2025/11/06,28010.0,20,759,37836,476818.0,勝,2025/10/17
2025/12/29,28749,2026/01/16,31382.0,18,2633,131536,608354.0,勝,2025/12/29
2026/01/20,31481,2026/02/03,32386.0,14,905,45136,653490.0,勝,2026/01/20
2026/02/11,33349,2026/03/05,33911.0,22,562,27986,681476.0,勝,2026/02/11
合計,16筆,,,勝率75.0%,13666,681476,,,合計
