日期,星期,開盤,收盤,近月,遠月,小散戶,微散戶,結算近-散戶,主力,籌碼,信號,操作
2024/01/02,二,17838,17798,-5064,-6718,3743.0,,-8807,-10845.0,,⬇️空方 ⚠️危險,觀望
2024/01/03,三,17658,17546,-28751,-30190,18654.0,,-47405,-52403.0,,⬇️空方 ⚠️危險,觀望
2024/01/04,四,17525,17546,-23399,-25528,9647.0,,-33046,-32058.0,,⬇️空方 ⚠️危險,觀望
2024/01/05,五,17577,17519,-21935,-24764,10454.0,,-32389,-33290.0,,⬇️空方 ⚠️危險,觀望
2024/01/08,一,17572,17595,-18415,-22515,8344.0,,-26759,-27945.5,,⬇️空方 ⚠️危險,觀望
2024/01/09,二,17770,17545,-27011,-31822,12730.0,,-39741,-41371.0,-30526.0,⬇️空方 ⚠️危險,觀望
2024/01/10,三,17509,17458,-40296,-44794,17059.0,,-57355,-56515.0,-4112.0,⬇️空方 ⚠️危險,觀望
2024/01/11,四,17490,17575,-42215,-43525,8268.0,,-50483,-38298.5,-6240.5,⬇️空方 ⚠️危險,觀望
2024/01/12,五,17466,17489,-50433,-48019,15970.0,,-66403,-55949.5,-22659.5,⬇️空方 ⚠️危險,觀望
2024/01/15,一,17580,17559,-38421,-42546,7794.0,,-46215,-36861.0,-8915.5,⬇️空方 ⚠️危險,觀望
2024/01/16,二,17480,17333,-31481,-31262,15336.0,,-46817,-46303.0,-4932.0,⬇️空方 ⚠️危險,觀望
2024/01/17,三,17313,17167,-14688,-19978,19649.0,,-34337,-49287.0,7228.0,⬇️空方 ⚠️危險,觀望
2024/01/18,四,17240,17280,-21416,-26818,13810.0,,-35226,-41029.0,-2730.5,⬇️空方 ⚠️危險,觀望
2024/01/19,五,17541,17678,15191,13024,-7468.0,,22659,21448.0,77397.5,🟢翻多,👉 隔天進場
2024/01/22,一,17816,17817,8032,5331,-1105.0,,9137,4875.5,41736.5,↗️弱多,續抱
2024/01/23,二,17799,17870,19808,13164,-8586.0,,28394,23754.0,70057.0,🟢翻多,續抱
2024/01/24,三,17903,17903,18828,13921,-10456.0,,29284,27872.5,77159.5,⬆️多方 💪最強,續抱
2024/01/25,四,18016,17995,31373,26870,-14262.0,,45635,41959.0,82988.0,⬆️多方 💪最強,續抱
2024/01/26,五,17951,17999,30159,25013,-15286.0,,45445,43078.5,21630.5,⬆️多方 💪最強,續抱
2024/01/29,一,18011,18125,34649,29607,-21814.0,,56463,58431.5,53556.0,⬆️多方 💪最強,續抱
2024/01/30,二,18129,18081,23561,18650,-11590.0,,35151,32505.0,8751.0,⬆️多方 💪最強,續抱
2024/01/31,三,17990,17920,11845,6608,-2223.0,,14068,7750.0,-20122.5,⬆️多方 💪最強,續抱
2024/02/01,四,17956,17986,2718,-2733,-5855.0,,8573,10343.5,-31615.5,⬆️多方 💪最強,續抱
2024/02/02,五,18100,18084,-8088,-12843,-9962.0,,1874,13502.5,-29576.0,⬆️多方 💪最強,續抱
2024/02/05,一,18008,18086,-6060,-10636,-9376.0,,3316,13434.0,-44997.5,⬆️多方 💪最強,續抱
2024/02/15,四,18590,18667,-2183,-11744,-18937.0,,16754,32002.0,-503.0,⬆️多方 💪最強,續抱
2024/02/16,五,18683,18634,-3774,-6314,-11929.0,,8155,20701.0,12951.0,⬆️多方 💪最強,續抱
2024/02/19,一,18680,18671,-10143,-1083,-16993.0,,6850,33444.5,23101.0,⬆️多方 💪最強,續抱
2024/02/20,二,18634,18753,1279,27559,-20824.0,,22103,55427.5,41925.0,⬆️多方 💪最強,續抱
2024/02/21,三,18738,18670,21010,20738,1051.0,,19959,8267.0,-5167.0,⬆️多方,續抱
2024/02/22,四,18887,18889,23707,23241,-4233.0,,27940,20086.5,-11915.5,⬆️多方 💪最強,續抱
2024/02/23,五,18990,18913,26511,26093,808.0,,25703,11430.5,-9270.5,⬆️多方,續抱
2024/02/26,一,18907,18963,29253,28955,-5909.0,,35162,26295.5,-7149.0,⬆️多方 💪最強,續抱
2024/02/27,二,18950,18867,26691,26122,2972.0,,23719,7117.0,-48310.5,⬆️多方,續抱
2024/02/29,四,18808,18966,21879,21173,-5562.0,,27441,21710.5,13443.5,⬆️多方 💪最強,續抱
2024/03/01,五,18968,18961,6285,5581,-1166.0,,7451,5122.5,-14964.0,⬆️多方 💪最強,續抱
2024/03/04,一,19144,19314,28531,28771,-16960.0,,45491,48305.5,36875.0,⬆️多方 💪最強,續抱
2024/03/05,二,19362,19389,15067,15341,-10955.0,,26022,29580.5,3285.0,⬆️多方 💪最強,續抱
2024/03/06,三,19282,19509,11741,12215,-17369.0,,29110,40845.5,33728.5,⬆️多方 💪最強,續抱
2024/03/07,四,19688,19709,17481,16491,-11602.0,,29083,31449.5,9739.0,⬆️多方 💪最強,續抱
2024/03/08,五,19930,19791,4043,433,-2257.0,,6300,4730.5,-392.0,↗️弱多,續抱
2024/03/11,一,19691,19715,-15155,-18023,-4911.0,,-10244,810.5,-47495.0,↗️弱多,續抱
2024/03/12,二,19714,19955,-21440,-25819,-13396.0,,-8044,13882.5,-15698.0,🟢翻多,續抱
2024/03/13,三,19994,19927,-15357,-20924,-9063.0,,-6294,7664.0,-33181.5,⬆️多方 💪最強,續抱
2024/03/14,四,19897,19939,-16567,-22517,-9696.0,,-6871,8133.5,-23316.0,⬆️多方 💪最強,續抱
2024/03/15,五,19828,19730,-25149,-32340,145.0,,-25294,-16460.0,-21190.5,⬇️空方 ⚠️危險,續抱
2024/03/18,一,19778,19919,-28016,-24624,-7527.0,,-20489,2742.0,1931.5,↗️弱多,續抱
2024/03/19,二,19816,19867,-25017,-25170,-3921.0,,-21096,-4743.0,-18625.5,⬇️空方,續抱
2024/03/20,三,19860,19747,-3588,-4030,733.0,,-4321,-3481.0,-11145.0,⬇️空方 ⚠️危險,續抱
2024/03/21,四,20048,20264,20855,21147,-11070.0,,31925,32713.5,24580.0,🟢翻多,續抱
2024/03/22,五,20226,20242,-5438,-5323,1432.0,,-6870,-5525.5,10934.5,⬇️空方 ⚠️危險,續抱
2024/03/25,一,20256,20231,-7185,-6955,149.0,,-7334,-3775.5,-6517.5,⬇️空方 ⚠️危險,續抱
2024/03/26,二,20280,20187,-9844,-9871,1765.0,,-11609,-8465.5,-3722.5,🔴翻空,👉 隔天出場
2024/03/27,三,20185,20261,126,878,-4365.0,,4491,9169.0,12650.0,🟢翻多,👉 隔天進場
2024/03/28,四,20238,20203,-11319,-10475,2126.0,,-13445,-9489.5,-42203.0,⬇️空方 ⚠️危險,續抱
2024/03/29,五,20226,20280,3124,4080,-4134.0,,7258,10308.0,15833.5,🟢翻多,續抱
2024/04/01,一,20393,20288,-448,472,-1061.0,,613,2358.0,6133.5,↗️弱多,續抱
2024/04/02,二,20350,20523,20718,22089,-16016.0,,36734,43076.5,51542.0,🟢翻多,續抱
2024/04/03,三,20370,20349,-2976,-2288,-954.0,,-2022,764.0,-8405.0,↗️弱多,續抱
2024/04/08,一,20404,20450,662,-247,-9454.0,,10116,18784.5,28274.0,🟢翻多,續抱
